Row Labels,account_create,account_update,account_witness_proxy,account_witness_vote,claim_reward_balance,comment,comment_options,delete_comment,follow,post,resmoked,transfer,transfer_to_vesting,vote,withdraw_vesting,witness_update,Grand Total
23/09/2018,64,5,,9,,1,,,3,,,5,1,3,,5,96
24/09/2018,216,182,,203,,163,,8,886,479,69,65,43,1042,2,23,3381
25/09/2018,286,205,2,391,,267,,11,868,645,74,34,22,1419,3,6,4233
26/09/2018,199,143,,256,,259,,10,1161,698,69,29,24,1405,1,17,4271
27/09/2018,130,86,,125,,240,,11,1825,771,96,72,48,1418,2,10,4834
28/09/2018,84,51,,93,,214,,6,1132,673,66,118,71,1534,4,4,4050
29/09/2018,95,67,,133,,261,,7,1006,840,111,60,41,1610,1,4,4236
30/09/2018,70,74,,76,,241,,5,789,655,65,28,18,1423,,6,3450
01/10/2018,77,48,,88,131,224,,1,669,713,95,15,9,1676,2,5,3753
02/10/2018,48,58,,80,171,260,,5,730,707,74,12,14,1578,1,14,3752
03/10/2018,50,51,,45,174,228,,4,1104,564,78,8,10,1434,3,4,3757
04/10/2018,96,76,1,231,212,273,,8,642,722,107,16,11,1501,2,2,3900
05/10/2018,87,64,,400,215,324,,7,808,720,93,14,9,1708,1,1,4451
06/10/2018,51,44,1,167,206,262,,8,476,803,106,25,19,1734,4,3,3909
07/10/2018,49,56,,136,211,244,,7,745,546,97,32,15,1554,,2,3694
08/10/2018,52,30,,78,277,294,,7,525,700,87,14,9,1738,2,,3813
09/10/2018,38,41,,145,232,313,,12,850,802,82,17,12,1751,4,3,4302
10/10/2018,60,38,,119,232,267,,1,805,821,79,18,23,1950,1,9,4423
11/10/2018,70,56,,119,272,304,,9,885,740,128,32,15,2117,5,2,4754
12/10/2018,47,35,,67,270,275,,6,473,692,89,11,12,2018,1,1,3997
13/10/2018,37,36,,165,309,289,,13,566,809,78,17,17,1892,6,3,4237
14/10/2018,38,47,1,120,269,311,,11,439,765,67,12,11,1974,3,3,4071
15/10/2018,41,30,1,98,285,268,,22,357,615,78,31,11,1908,4,3,3752
16/10/2018,21,26,4,133,311,239,,10,342,617,63,381,8,1717,4,,3876
17/10/2018,18,26,2,112,285,287,,4,472,659,102,193,13,2070,,2,4245
18/10/2018,20,33,,70,329,325,,9,702,678,85,93,8,2304,6,,4662
19/10/2018,81,20,,65,327,230,,6,473,456,63,44,5,1540,1,,3311
20/10/2018,21,23,,31,316,199,,9,308,674,73,23,5,1751,,,3433
21/10/2018,29,21,,41,303,220,,11,619,658,103,13,7,2067,3,5,4100
22/10/2018,12,26,,47,331,231,,8,518,721,94,6,3,2120,4,,4121
23/10/2018,14,35,2,64,340,259,,7,691,751,120,17,7,2353,2,,4662
24/10/2018,18,28,,18,352,224,,8,1006,561,79,10,3,2014,1,,4322
25/10/2018,41,39,,11,362,279,,12,505,614,83,5,8,1918,4,1,3882
26/10/2018,33,19,,36,314,279,,19,574,685,120,12,9,2185,3,,4288
27/10/2018,16,18,,81,320,320,,3,617,816,150,17,3,2472,,3,4836
28/10/2018,24,30,,79,323,243,,3,896,613,121,4,4,1970,,,4310
29/10/2018,25,17,,28,349,305,,19,700,816,149,25,6,2017,5,1,4462
30/10/2018,65,20,,27,389,289,,20,511,697,99,12,3,2245,4,3,4384
31/10/2018,72,33,1,30,383,283,,8,903,633,79,27,11,2140,3,5,4611
01/11/2018,41,31,,83,368,278,,4,781,810,115,9,6,2342,5,6,4879
02/11/2018,21,12,,69,373,282,,6,331,787,159,14,10,2196,3,9,4272
03/11/2018,18,10,,31,340,214,,6,519,640,113,39,6,2014,4,4,3958
04/11/2018,17,32,1,69,330,308,7,4,1733,748,115,3,4,2051,3,,5425
05/11/2018,26,30,,77,397,283,4,7,903,837,137,14,9,2489,8,3,5224
06/11/2018,16,24,,55,428,247,,11,1100,873,123,4,3,2350,2,1,5237
07/11/2018,26,23,,29,362,256,,11,605,658,118,23,10,2270,1,1,4393
08/11/2018,32,45,2,70,413,298,,8,1019,875,143,20,12,2325,2,,5264
09/11/2018,17,34,2,62,409,258,,10,674,1017,131,7,8,2731,5,3,5368
10/11/2018,19,30,1,22,352,256,,5,429,622,73,17,3,1823,1,3,3656
11/11/2018,21,24,1,15,334,272,,2,1032,654,113,36,4,2143,2,4,4657
12/11/2018,30,23,,24,402,277,,7,1357,773,106,13,7,2476,2,,5497
13/11/2018,30,30,,65,426,316,,5,414,908,95,20,13,2537,2,3,4864
14/11/2018,9,25,,14,375,215,,4,200,667,87,23,4,2117,1,1,3742
15/11/2018,19,28,,49,359,220,,24,448,603,58,9,8,2145,4,5,3979
16/11/2018,59,12,,98,353,231,,5,340,655,72,34,20,2427,4,1,4311
17/11/2018,249,41,,20,332,205,,4,298,549,67,22,78,1875,12,1,3753
18/11/2018,360,74,,55,327,302,,5,598,625,131,10,128,2417,17,1,5050
19/11/2018,289,44,,28,387,241,,2,427,592,97,19,107,2484,20,6,4743
20/11/2018,318,58,,24,415,241,,3,410,609,91,7,111,2396,15,2,4700
21/11/2018,213,58,2,133,397,302,,4,806,682,94,9,102,2597,22,5,5426
22/11/2018,305,60,2,41,377,316,,7,389,710,77,13,132,2609,22,12,5072
23/11/2018,219,86,19,12,371,286,,4,477,680,78,7,70,2353,49,2,4713
24/11/2018,70,38,,117,347,285,,15,394,695,72,11,34,2613,37,,4728
25/11/2018,63,29,,44,413,307,,10,339,731,67,34,26,2842,16,7,4928
26/11/2018,57,35,,9,406,264,,5,388,692,91,21,23,2539,12,2,4544
27/11/2018,23,15,,11,422,223,,3,327,647,67,5,13,2477,7,,4240
28/11/2018,39,23,,29,428,235,,5,315,576,86,20,25,2487,10,7,4285
29/11/2018,29,18,,5,463,266,,3,407,687,111,24,20,2703,6,2,4744
30/11/2018,31,24,,15,393,228,,4,219,536,71,15,8,2282,9,6,3841
01/12/2018,29,13,1,45,436,234,,4,330,561,78,5,14,2300,9,12,4071
02/12/2018,21,12,,76,414,209,,5,223,496,60,8,9,1822,4,1,3360
03/12/2018,37,19,,71,426,212,,2,319,670,66,31,15,1767,23,17,3675
04/12/2018,35,10,,91,365,195,,4,360,707,67,30,22,1729,8,5,3628
05/12/2018,25,20,1,180,383,209,,2,260,625,83,5,8,1824,2,10,3637
