Row Labels,account_create,account_update,account_witness_proxy,account_witness_vote,claim_reward_balance,comment,comment_options,custom_json,delete_comment,follow,post,resmoked,transfer,transfer_to_vesting,vote,withdraw_vesting,witness_update,Grand Total,
Week 01,1074,739,2,1210,,4106,4702,,53,6881,1405,485,384,250,8699,13,69,30072,
Week 02,479,415,2,1087,1109,4884,5675,,38,5218,1812,618,118,90,11537,13,35,33130,
Week 03,353,292,,829,1803,5110,5938,,55,4849,1986,640,141,103,13519,19,20,35657,
Week 04,240,205,8,629,2122,4464,115,,71,3093,1859,531,777,61,13775,18,8,27976,
Week 05,163,186,2,298,2322,4806,10,,68,4530,1812,749,80,40,15613,17,9,30705,
Week 06,266,153,1,347,2525,4996,102,30,66,4641,1894,835,130,46,15432,24,28,31516,
Week 07,153,218,6,384,2691,5630,86,8,56,6463,1906,840,88,49,16539,22,11,35150,
Week 08,417,183,1,285,2581,4809,30,7,51,4089,1736,598,157,134,16170,27,15,31290,
Week 09,1774,418,23,410,2621,4593,11,,40,3501,1973,640,76,684,17955,182,28,34929,
Week 10,271,157,1,158,2961,4430,4,,34,2325,1757,571,124,129,18052,69,36,31079,
Week 11,152,108,2,644,2708,4227,7,,28,1777,1358,507,110,82,12100,52,35,23897,
Week 12,88,115,2,277,2220,4054,2,,20,1385,1197,561,75,47,11909,41,23,22016,
Week 13,116,77,2,564,2129,4414,1,,43,1641,1151,620,154,66,12420,67,31,23496,
Week 14,62,80,1,193,1993,3680,2,,32,1078,910,448,74,43,10546,44,51,19237,
Week 15,54,56,1,200,1758,3513,7,1,35,855,987,386,98,47,10401,48,21,18468,
Week 16,67,66,1,230,1746,4058,3,,36,1010,992,456,94,41,10774,34,10,19618,
Week 17,75,77,,162,1930,3889,2,,26,793,935,375,94,43,11176,29,4,19610,
Week 18,85,25,,199,1741,3014,8,,16,589,721,250,92,36,9237,33,2,16048,
Week 19,79,65,,144,1592,2842,3,,20,509,686,230,82,21,8570,28,6,14877,
Week 20,71,45,,132,1497,2658,11,,20,601,790,237,74,32,9649,32,12,15861,
Week 21,44,38,1,112,1478,2823,12,,12,890,676,248,144,57,9758,30,14,16337,
Week 22,65,61,,173,1462,3047,7,,20,530,626,214,110,43,8654,31,4,15047,
Week 23,66,37,1,163,1282,2743,18,,16,426,671,282,101,32,8903,31,5,14777,
Week 24,49,36,,66,1142,2183,13,,15,679,570,233,102,33,7814,22,7,12964,
Week 25,96,53,,64,1052,2233,13,,21,556,668,244,89,24,7902,24,1,13040,
Week 26,111,32,,129,1032,1757,8,,9,373,509,169,90,33,8388,36,4,12680,
Week 27,57,52,,114,1018,1469,7,,13,393,551,192,67,28,8959,24,7,12951,
Week 28,57,40,,153,996,1603,2,,7,504,515,202,81,26,10864,27,3,15080,
Week 29,48,29,,157,1015,1686,,,10,449,543,205,74,54,11587,26,2,15885,
Week 30,59,43,,84,940,1498,,,10,432,552,170,47,21,11244,21,9,15130,
Week 31,69,26,1,289,1023,1957,,,9,644,522,212,79,31,13314,20,4,18200,
Week 32,20,25,1,153,1021,2279,7,,15,658,535,230,42,22,16293,28,1,21330,
Week 33,66,26,2,412,1193,1710,4,,20,376,523,164,85,27,16801,17,10,21436,
Week 34,62,24,1,110,1193,1866,2,,9,395,417,195,98,25,16148,22,4,20571,
Week 35,65,30,,219,1041,2211,1,,12,368,520,224,76,52,15870,19,3,20711,
Week 36,8,39,,124,978,1632,3,,14,130,424,132,60,17,15130,23,2,18716,
Week 37,67,32,,42,859,1357,2,,9,353,462,193,58,178,15396,10,6,19024,
Week 38,44,21,,89,923,1355,2,,8,288,447,183,53,21,16519,24,5,19982,
Week 39,34,33,,35,893,1152,3,,6,277,418,157,49,20,21879,23,4,24983,
Week 40,30,20,,66,819,1076,3,,4,330,452,148,54,11,19845,10,4,22872,
Week 41,36,23,,90,922,1936,2,,4,181,321,157,50,10,18210,16,35,21993,
Week 42,49,20,1,153,841,4893,2,,11,250,412,149,51,12,20442,11,54,27351,
