"day","new_user"
23/09/2018,86
24/09/2018,216
25/09/2018,286
26/09/2018,199
27/09/2018,130
28/09/2018,84
29/09/2018,95
30/09/2018,70
01/10/2018,77
02/10/2018,48
03/10/2018,50
04/10/2018,96
05/10/2018,87
06/10/2018,51
07/10/2018,49
08/10/2018,52
09/10/2018,38
10/10/2018,60
11/10/2018,70
12/10/2018,47
13/10/2018,37
14/10/2018,38
15/10/2018,41
16/10/2018,21
17/10/2018,18
18/10/2018,20
19/10/2018,81
20/10/2018,21
21/10/2018,29
22/10/2018,12
23/10/2018,14
24/10/2018,18
25/10/2018,41
26/10/2018,33
27/10/2018,16
28/10/2018,24
29/10/2018,25
30/10/2018,65
31/10/2018,72
01/11/2018,41
02/11/2018,21
03/11/2018,18
04/11/2018,17
05/11/2018,26
06/11/2018,16
07/11/2018,26
08/11/2018,32
09/11/2018,17
10/11/2018,19
11/11/2018,21
12/11/2018,30
13/11/2018,30
14/11/2018,9
15/11/2018,19
16/11/2018,52
17/11/2018,250
18/11/2018,359
19/11/2018,289
20/11/2018,318
21/11/2018,213
22/11/2018,305
23/11/2018,219
24/11/2018,70
25/11/2018,63
26/11/2018,43
26/11/2018,57
27/11/2018,23
28/11/2018,39
29/11/2018,29
30/11/2018,31
01/12/2018,29
02/12/2018,21
03/12/2018,37
04/12/2018,35
05/12/2018,25
06/12/2018,14
07/12/2018,3
07/12/2018,3
08/12/2018,17
09/12/2018,15
10/12/2018,13
11/12/2018,13
12/12/2018,19
13/12/2018,20
14/12/2018,5
15/12/2018,3
16/12/2018,3
17/12/2018,30
18/12/2018,24
19/12/2018,20
20/12/2018,17
21/12/2018,16
22/12/2018,6
23/12/2018,4
24/12/2018,10
25/12/2018,9
26/12/2018,8
27/12/2018,14
28/12/2018,10
29/12/2018,7
30/12/2018,9
31/12/2018,4
01/01/2019,5
02/01/2019,11
03/01/2019,6
04/01/2019,13
05/01/2019,3





