date,new_user
01-01-2019,5
01-02-2019,11
01-10-2018,77
01-11-2018,41
01-12-2018,29
02-01-2019,11
02-02-2019,11
02-10-2018,48
02-11-2018,21
02-12-2018,21
03-01-2019,6
03-02-2019,2
03-10-2018,50
03-11-2018,18
03-12-2018,37
04-01-2019,13
04-10-2018,96
04-11-2018,17
04-12-2018,35
05-01-2019,6
05-10-2018,87
05-11-2018,26
05-12-2018,25
06-01-2019,24
06-10-2018,51
06-11-2018,16
06-12-2018,14
07-01-2019,8
07-10-2018,49
07-11-2018,26
07-12-2018,3
08-01-2019,8
08-10-2018,52
08-11-2018,32
08-12-2018,17
09-01-2019,7
09-10-2018,38
09-11-2018,17
09-12-2018,15
10-01-2019,8
10-10-2018,60
10-11-2018,19
10-12-2018,13
11-01-2019,4
11-10-2018,70
11-11-2018,21
11-12-2018,13
12-01-2019,8
12-10-2018,47
12-11-2018,30
12-12-2018,19
13-01-2019,8
13-10-2018,37
13-11-2018,30
13-12-2018,20
14-01-2019,12
14-10-2018,38
14-11-2018,9
14-12-2018,5
15-01-2019,10
15-10-2018,41
15-11-2018,19
15-12-2018,3
16-01-2019,14
16-10-2018,21
16-11-2018,59
16-12-2018,3
17-01-2019,11
17-10-2018,18
17-11-2018,250
17-12-2018,30
18-01-2019,12
18-10-2018,20
18-11-2018,359
18-12-2018,24
19-01-2019,8
19-10-2018,81
19-11-2018,289
19-12-2018,20
20-01-2019,13
20-10-2018,21
20-11-2018,318
20-12-2018,17
21-01-2019,14
21-10-2018,29
21-11-2018,213
21-12-2018,16
22-01-2019,13
22-10-2018,12
22-11-2018,305
22-12-2018,6
23-01-2019,9
23-09-2018,64
23-10-2018,14
23-11-2018,219
23-12-2018,4
24-01-2019,12
24-09-2018,216
24-10-2018,18
24-11-2018,70
24-12-2018,10
25-01-2019,16
25-09-2018,286
25-10-2018,41
25-11-2018,63
25-12-2018,9
26-01-2019,8
26-09-2018,199
26-10-2018,33
26-11-2018,57
26-12-2018,8
27-01-2019,11
27-09-2018,130
27-10-2018,16
27-11-2018,23
27-12-2018,14
28-01-2019,9
28-09-2018,84
28-10-2018,24
28-11-2018,39
28-12-2018,10
29-01-2019,17
29-09-2018,95
29-10-2018,25
29-11-2018,29
29-12-2018,7
30-01-2019,9
30-09-2018,70
30-10-2018,65
30-11-2018,31
30-12-2018,9
31-01-2019,11
31-10-2018,72
31-12-2018,4
