### post

user,all time,,user,30 days,,user,7 days
@offgrid,4973,,@skylinebuds,452,,skylinebuds,148
skylinebuds,3284,,offgrid,429,,@psyceratopsb,122
@tecnosgirl,2253,,indica,417,,unnamed,116
psyceratopsb,1927,,unnamed,401,,armshippie,111
indica,1865,,psyceratopsb,374,,offgrid,88
zuculuz,1461,,tecnosgirl,260,,indica,84
easyrider,1254,,zuculuz,243,,jwolf,67
unnamed,1200,,jackdub,206,,tecnosgirl,62
bongonbro,1189,,darian,184,,oluwastoner,62
@goldendawne,1156,,a4illusionist,160,,zuculuz,58
trees,1080,,mbj,159,,jessica,55
mbj,900,,rawpride,157,,lamanoverde,51
lordoftruth,896,,armshippie,154,,purpleflowers,51
li-art,871,,purpleflowers,149,,jackdub,48
princeola,833,,lamanoverde,137,,rawpride,48
gr8fulmag420,826,,bongonbro,136,,carnot,48
jessica,799,,oluwastoner,133,,stoner,45
rawpride,752,,realkiki85,131,,mbj,41
jwolf,733,,indaymers,126,,a4illusionist,40
smokeyjay001,694,,lordoftruth,125,,darian,40

### resmoke

user,all time,,user,30 days,,user,7 days
offgrid,556,,offgrid,113,,offgrid,23
jos3lider,327,,maelstrohmblack,37,,indica,18
dargonx0x,307,,canna-curate,36,,canna-curate,14
indaymers,222,,lamanoverde,35,,maelstrohmblack,13
pawanregmi28,221,,prettynicevideo,35,,lamanoverde,11
adelepazani,213,,jos3lider,30,,prettynicevideo,11
lexsmoke,208,,indica,27,,jan,7
smokeasaurusrex,206,,libbzter,24,,lilweezy,7
@li-art,202,,indaymers,22,,jwolf,6
canna-curate,199,,dargonx0x,20,,adelepazani,6
howhigh,196,,smoketerzai56,17,,libbzter,6
smoketerzai56,196,,acid,17,,marshalllife,6
lawlai,188,,cathodion,17,,jessica,5
nona,179,,cloudculpepper,16,,dargonx0x,5
maelstrohmblack,170,,zuculuz,12,,acid,5
easyrider,166,,adelepazani,12,,goldendawne,4
libbzter,135,,lilweezy,12,,z3ll,4
skylinebuds,134,,easyrider,11,,herbdean,4
michelleb,131,,jan,10,,mr-smoke,4
ramonubba,117,,jwolf,9,,skylinebuds,3

### smokes

### comment

user,all time,,user,30 days,,user,7 days
offgrid,2231,,jackdub,166,,jackdub,60
@lordoftruth,519,,offgrid,98,,lamanoverde,44
tecnosgirl,497,,lamanoverde,76,,bradleydankz,31
jackdub,428,,tecnosgirl,65,,hightimes,31
@rawpride,326,,alibi,63,,offgrid,21
bongripper427,271,,lordoftruth,44,,libbzter,18
li-art,269,,prettynicevideo,42,,prettynicevideo,17
lexsmoke,261,,unnamed,37,,nosegrindstoned,15
mbj,239,,mbj,35,,unnamed,15
@mjgeeks,234,,zpzn,34,,lordoftruth,14
maryjane,222,,chipanda,32,,alibi,13
kiefpreston,220,,dedos.pegajosos,32,,tecnosgirl,13
easyrider,214,,bradleydankz,31,,barge,12
libbzter,212,,hightimes,31,,the-smoke,12
bitminter,203,,li-art,31,,douglas.curtis,11
psyceratopsb,200,,joelagbo,30,,luismy,11
skylinebuds,195,,psyceratopsb,29,,mbj,11
alexander,191,,skylinebuds,29,,psyceratopsb,11
smokelord,183,,mjgeeks,28,,rawpride,11
jwolf,178,,rawpride,28,,atimkaranezi93,10
