user,all time,,user,30 days,,user,7 days
offgrid,556,,offgrid,113,,offgrid,23
jos3lider,327,,maelstrohmblack,37,,indica,18
dargonx0x,307,,canna-curate,36,,canna-curate,14
indaymers,222,,lamanoverde,35,,maelstrohmblack,13
pawanregmi28,221,,prettynicevideo,35,,lamanoverde,11
adelepazani,213,,jos3lider,30,,prettynicevideo,11
lexsmoke,208,,indica,27,,jan,7
smokeasaurusrex,206,,libbzter,24,,lilweezy,7
li-art,202,,indaymers,22,,jwolf,6
canna-curate,199,,dargonx0x,20,,adelepazani,6
howhigh,196,,smoketerzai56,17,,libbzter,6
smoketerzai56,196,,acid,17,,marshalllife,6
lawlai,188,,cathodion,17,,jessica,5
nona,179,,cloudculpepper,16,,dargonx0x,5
maelstrohmblack,170,,zuculuz,12,,acid,5
easyrider,166,,adelepazani,12,,goldendawne,4
libbzter,135,,lilweezy,12,,z3ll,4
skylinebuds,134,,easyrider,11,,herbdean,4
michelleb,131,,jan,10,,mr-smoke,4
ramonubba,117,,jwolf,9,,skylinebuds,3
