user,all time,,user,30 days,,user,7 days
offgrid,8462,,tecnosgirl,1224,,darian,465
tecnosgirl,7993,,skylinebuds,1207,,jackdub,378
skylinebuds,7935,,jackdub,1071,,rawpride,368
goldendawne,5887,,psyceratopsb,977,,psyceratopsb,365
rawpride,5706,,rawpride,959,,skylinebuds,328
li-art,4641,,offgrid,869,,goldendawne,306
psyceratopsb,4124,,unnamed,717,,tecnosgirl,304
mjgeeks,3933,,mjgeeks,660,,mjgeeks,276
lordoftruth,3633,,lordoftruth,627,,armshippie,266
jwolf,3536,,darian,615,,offgrid,220
mbj,3019,,li-art,561,,unnamed,212
kiefpreston,2954,,mbj,527,,lordoftruth,193
jackdub,2584,,joelagbo,502,,spiderman,168
davedickeyyall,2457,,prettynicevideo,483,,purpleflowers,165
bongripper427,2391,,alibi,481,,mbj,149
jonyoudyer,2274,,jonyoudyer,446,,li-art,147
unnamed,2180,,purpleflowers,436,,jwolf,143
adelepazani,2124,,indica,430,,lamanoverde,138
chronocrypto,2061,,zpzn,412,,jessica,136
maryjane,2047,,davedickeyyall,366,,adelepazani,135
